(iter 10) [0.0, -0.0446, -0.2664] = 448.0066, sampling [1.0, 0.3258, 0.6905]. Recommendation = [0.0, -0.0446, -0.2664], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.0446, -0.2664] = 448.0066, sampling [1.0, 0.1322, 0.1075]. Recommendation = [0.0, -0.0446, -0.2664], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.0446, -0.2664] = 448.0066, sampling [1.0, 0.8624, 0.8789]. Recommendation = [0.0, -0.0446, -0.2664], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.0446, -0.2664] = 448.0066, sampling [1.0, -0.0266, 1.1293]. Recommendation = [0.0, -0.0446, -0.2664], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.0446, -0.2664] = 448.0066, sampling [1.0, 0.6403, 0.3895]. Recommendation = [0.0, -0.0446, -0.2664], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.0446, -0.2664] = 448.0066, sampling [1.0, 1.0088, 0.5720]. Recommendation = [0.0, -0.0446, -0.2664], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.0446, -0.2664] = 448.0066, sampling [1.0, 0.4281, 0.2129]. Recommendation = [0.0, -0.0446, -0.2664], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.0446, -0.2664] = 448.0066, sampling [1.0, 0.0611, 0.3821]. Recommendation = [0.0, 0.4281, 0.2129], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.0446, -0.2664] = 448.0066, sampling [1.0, 0.6482, 0.7131]. Recommendation = [0.0, 0.4281, 0.2129], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.0446, -0.2664] = 448.0066, sampling [1.0, 0.7024, 1.1932]. Recommendation = [0.0, 0.4281, 0.2129], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.0446, -0.2664] = 448.0066, sampling [1.0, 0.3229, 0.0013]. Recommendation = [0.0, 0.4281, 0.2129], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.0446, -0.2664] = 448.0066, sampling [1.0, 0.1172, -0.0890]. Recommendation = [0.0, 0.4281, 0.2129], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.0446, -0.2664] = 448.0066, sampling [1.0, 1.0725, 0.8089]. Recommendation = [0.0, 0.4281, 0.2129], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.0446, -0.2664] = 448.0066, sampling [1.0, 0.7135, 0.0759]. Recommendation = [0.0, 0.4281, 0.2129], Current Cost = 5018.00, Rho = 1.000
