(iter 10) [0.0, -0.7462, -0.6337] = 311.5233, sampling [1.0, 0.9241, 1.0711]. Recommendation = [0.0, -0.7462, -0.6337], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.7462, -0.6337] = 311.5233, sampling [1.0, 0.9199, 0.9917]. Recommendation = [0.0, 0.9241, 1.0711], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.7462, -0.6337] = 311.5233, sampling [1.0, 0.7542, 0.9807]. Recommendation = [0.0, 0.9199, 0.9917], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.7462, -0.6337] = 311.5233, sampling [1.0, 0.7992, 1.0963]. Recommendation = [0.0, 0.9199, 0.9917], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.7462, -0.6337] = 311.5233, sampling [1.0, 0.8237, 0.8426]. Recommendation = [0.0, 0.9199, 0.9917], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.7462, -0.6337] = 311.5233, sampling [1.0, 0.8380, 0.8313]. Recommendation = [0.0, 0.8237, 0.8426], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.7462, -0.6337] = 311.5233, sampling [1.0, 0.7750, 0.7628]. Recommendation = [0.0, 0.8380, 0.8313], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.7462, -0.6337] = 311.5233, sampling [1.0, 0.7084, 0.7919]. Recommendation = [0.0, 0.7750, 0.7628], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.7462, -0.6337] = 311.5233, sampling [1.0, 0.8600, 0.7056]. Recommendation = [0.0, 0.7750, 0.7628], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.7462, -0.6337] = 311.5233, sampling [1.0, 0.6681, 0.5904]. Recommendation = [0.0, 0.7750, 0.7628], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.7462, -0.6337] = 311.5233, sampling [1.0, 0.6109, 0.7506]. Recommendation = [0.0, 0.7750, 0.7628], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.7462, -0.6337] = 311.5233, sampling [1.0, 0.8697, 0.5445]. Recommendation = [0.0, 0.7750, 0.7628], Current Cost = 5016.00, Rho = 1.000
