(iter 10) [0.0, 0.3191, -0.3287] = 437.3020, sampling [1.0, 0.5196, 0.0517]. Recommendation = [0.0, 0.3191, -0.3287], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.3191, -0.3287] = 437.3020, sampling [1.0, 0.6039, 0.3642]. Recommendation = [0.0, 0.5196, 0.0517], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.3191, -0.3287] = 437.3020, sampling [1.0, 0.7579, 0.0993]. Recommendation = [0.0, 0.5196, 0.0517], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.3191, -0.3287] = 437.3020, sampling [1.0, 0.3426, 0.0182]. Recommendation = [0.0, 0.5196, 0.0517], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.3191, -0.3287] = 437.3020, sampling [1.0, 0.5550, -0.1974]. Recommendation = [0.0, 0.3671, 0.0268], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.3191, -0.3287] = 437.3020, sampling [1.0, 0.5323, 0.1711]. Recommendation = [0.0, 0.3671, 0.0268], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.3191, -0.3287] = 437.3020, sampling [1.0, 0.7095, 0.6335]. Recommendation = [0.0, 0.3671, 0.0268], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.3191, -0.3287] = 437.3020, sampling [1.0, 0.4783, 0.5782]. Recommendation = [0.0, 0.3671, 0.0268], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.3191, -0.3287] = 437.3020, sampling [1.0, 0.9609, 0.4337]. Recommendation = [0.0, 0.3671, 0.0268], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.3191, -0.3287] = 437.3020, sampling [1.0, 0.7396, 0.8621]. Recommendation = [0.0, 0.3671, 0.0268], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.3191, -0.3287] = 437.3020, sampling [1.0, 0.9444, 0.6707]. Recommendation = [0.0, 0.3671, 0.0268], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.3191, -0.3287] = 437.3020, sampling [1.0, 0.7940, 0.5855]. Recommendation = [0.0, 0.3671, 0.0268], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.3191, -0.3287] = 437.3020, sampling [1.0, 0.7985, 0.2920]. Recommendation = [0.0, 0.7940, 0.5855], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.3191, -0.3287] = 437.3020, sampling [1.0, 0.5479, -0.0471]. Recommendation = [0.0, 0.7940, 0.5855], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.3191, -0.3287] = 437.3020, sampling [1.0, 0.6193, 0.6936]. Recommendation = [0.0, 0.7940, 0.5855], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.3191, -0.3287] = 437.3020, sampling [1.0, 1.0690, 0.8846]. Recommendation = [0.0, 0.7940, 0.5855], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.3191, -0.3287] = 437.3020, sampling [1.0, 0.7820, 0.7723]. Recommendation = [0.0, 0.7940, 0.5855], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.3191, -0.3287] = 437.3020, sampling [1.0, 0.4510, 0.1235]. Recommendation = [0.0, 0.7940, 0.5855], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.3191, -0.3287] = 437.3020, sampling [1.0, 0.2625, 0.4228]. Recommendation = [0.0, 0.4510, 0.1235], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.3191, -0.3287] = 437.3020, sampling [1.0, 0.2149, 0.1264]. Recommendation = [0.0, 0.4510, 0.1235], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.3191, -0.3287] = 437.3020, sampling [1.0, 0.2888, -0.2026]. Recommendation = [0.0, 0.4510, 0.1235], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.3191, -0.3287] = 437.3020, sampling [1.0, 1.2246, 0.6163]. Recommendation = [0.0, 0.4510, 0.1235], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.3191, -0.3287] = 437.3020, sampling [1.0, 0.3627, 0.7607]. Recommendation = [0.0, 0.4510, 0.1235], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.3191, -0.3287] = 437.3020, sampling [1.0, 0.6972, 1.0459]. Recommendation = [0.0, 0.4510, 0.1235], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.3191, -0.3287] = 437.3020, sampling [1.0, 0.9883, 0.8346]. Recommendation = [0.0, 0.4510, 0.1235], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.3191, -0.3287] = 437.3020, sampling [1.0, 0.4153, 0.4940]. Recommendation = [0.0, 0.4510, 0.1235], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.3191, -0.3287] = 437.3020, sampling [1.0, 0.6824, 0.5757]. Recommendation = [0.0, 0.4510, 0.1235], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.3191, -0.3287] = 437.3020, sampling [1.0, 0.6225, 0.8836]. Recommendation = [0.0, 0.4510, 0.1235], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.3191, -0.3287] = 437.3020, sampling [1.0, 0.6941, 0.2338]. Recommendation = [0.0, 0.4510, 0.1235], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.3191, -0.3287] = 437.3020, sampling [1.0, 1.0892, 1.0981]. Recommendation = [0.0, 0.4510, 0.1235], Current Cost = 5034.00, Rho = 1.000
