(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 0.5127, -0.1723]. Recommendation = [0.0, -0.4348, 1.3101], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 0.2015, 0.2896]. Recommendation = [0.0, 0.5127, -0.1723], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 0.5328, 0.2556]. Recommendation = [0.0, 0.2015, 0.2896], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 0.3283, 0.7233]. Recommendation = [0.0, 0.4126, 0.1666], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 0.2348, -0.0074]. Recommendation = [0.0, 0.4014, 0.2252], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 0.3058, -0.4653]. Recommendation = [0.0, 0.3750, 0.1411], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -0.0555, 0.5130]. Recommendation = [0.0, 0.3750, 0.1411], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 0.7189, -0.5175]. Recommendation = [0.0, 0.3750, 0.1411], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 0.4684, 0.0439]. Recommendation = [0.0, 0.3750, 0.1411], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 0.3806, 0.4771]. Recommendation = [0.0, 0.3908, 0.0897], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 0.6442, -0.0036]. Recommendation = [0.0, 0.3908, 0.0897], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 0.3750, 0.1411]. Recommendation = [0.0, 0.3908, 0.0897], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -0.0748, 0.0318]. Recommendation = [0.0, 0.3750, 0.1411], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 0.1177, 0.1107]. Recommendation = [0.0, 0.3750, 0.1411], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 0.0547, -0.2827]. Recommendation = [0.0, 0.3750, 0.1411], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 0.2567, -0.2922]. Recommendation = [0.0, 0.3750, 0.1411], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -0.0414, 0.9248]. Recommendation = [0.0, 0.3750, 0.1411], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -0.1513, 0.2304]. Recommendation = [0.0, 0.3750, 0.1411], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -0.0029, 0.3095]. Recommendation = [0.0, 0.3750, 0.1411], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 0.6800, 0.5804]. Recommendation = [0.0, 0.3750, 0.1411], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 0.6961, 0.3448]. Recommendation = [0.0, 0.3750, 0.1411], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 0.4859, 1.2678]. Recommendation = [0.0, 0.3750, 0.1411], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 0.6319, 0.7826]. Recommendation = [0.0, 0.3750, 0.1411], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -0.0964, -0.1879]. Recommendation = [0.0, 0.3750, 0.1411], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 0.0370, -0.0085]. Recommendation = [0.0, 0.3750, 0.1411], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -0.4404, 0.4565]. Recommendation = [0.0, 0.3750, 0.1411], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -0.3972, 0.0744]. Recommendation = [0.0, 0.3750, 0.1411], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -0.2579, 0.3745]. Recommendation = [0.0, 0.3750, 0.1411], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -0.4551, 0.7340]. Recommendation = [0.0, 0.3750, 0.1411], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -0.2750, -0.0372]. Recommendation = [0.0, 0.3750, 0.1411], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -0.2066, 0.1320]. Recommendation = [0.0, 0.3750, 0.1411], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 0.4985, 0.4144]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -0.6450, 0.3499]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -0.0907, -0.4198]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 0.4060, -0.0691]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -0.5831, 0.6426]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 0.1212, -0.6091]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -0.3347, -0.2228]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -0.1942, -0.1215]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -0.1877, 0.7274]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -0.5859, 0.1030]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -0.8399, 0.6539]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -0.7479, 0.9197]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -0.7761, 0.4820]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -0.5340, 0.8672]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -0.6418, 0.4647]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 0.4014, 0.2252]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5051.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 0.1519, 0.4330]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5052.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -0.2489, 0.2637]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5053.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -1.0768, 0.9349]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5054.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -0.9330, 0.8176]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5055.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -0.9423, 1.2162]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5056.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -0.9185, 1.0475]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5057.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -1.2824, 1.2570]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5058.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -1.1249, 1.6767]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5059.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -0.9905, 1.4489]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5060.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -1.4464, 1.5797]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5061.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -1.1894, 1.5002]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5062.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -1.3693, 0.9590]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5063.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -0.7331, 1.8473]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5064.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -1.1064, 1.2627]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5065.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -0.9991, 0.4557]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5066.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -1.1323, 0.6473]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5067.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 0.6507, 0.1700]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5068.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 0.8290, 0.7478]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5069.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 0.8157, 0.4735]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5070.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 0.7494, 1.0112]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5071.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 0.8968, 0.6080]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5072.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 0.7599, 0.6714]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5073.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -0.7492, 1.1042]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5074.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -1.4739, 1.3525]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5075.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 0.1259, -0.4029]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5076.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -1.0567, 1.0704]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5077.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -1.5423, 1.9372]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5078.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -1.2453, 1.8553]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5079.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -1.4652, 1.7457]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5080.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -1.2570, 1.7058]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5081.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -1.8531, 1.7665]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5082.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -0.1391, -0.3063]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5083.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -0.4707, -0.0848]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5084.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -0.8444, 0.3624]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5085.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 0.2953, -0.7737]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5086.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 0.5843, 0.8798]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5087.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 0.8566, 0.2392]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5088.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 0.9105, 0.8458]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5089.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -0.4940, 0.6017]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5090.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -1.2200, 1.3806]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5091.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 0.8552, -0.1412]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5092.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 0.6057, 0.6898]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5093.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -0.9046, 0.5447]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5094.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, -0.7869, 1.3312]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5095.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 1.0365, 1.2220]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5096.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 0.8664, 1.5874]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5097.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 0.9488, 1.1137]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5098.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 0.9423, 1.3715]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5099.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 0.2508, 1.9610]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5100.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 1.2494, 1.4151]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5101.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 1.2135, 1.0987]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5102.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 1.1209, 0.9671]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5103.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 1.0725, 1.4356]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5104.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 1.2456, 1.3052]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5105.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 1.3111, 1.7388]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5106.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 1.4311, 1.5496]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5107.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 1.0796, 1.6623]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5108.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 1.5865, 1.9356]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5109.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 1.8569, 1.6359]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5110.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 1.3268, 1.9411]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5111.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 1.1411, 1.9785]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5112.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 1.0089, 0.7652]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5113.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 1.3643, 1.8174]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5114.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 0.8890, 0.9938]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5115.00, Rho = 1.000
(iter 10) [0.0, -0.4348, 1.3101] = 328.5664, sampling [1.0, 1.0714, 1.1537]. Recommendation = [0.0, -0.2066, 0.1320], Current Cost = 5116.00, Rho = 1.000
