(iter 10) [0.0, -0.5295, 0.3028] = 453.9104, sampling [1.0, -0.3795, -0.0953]. Recommendation = [0.0, -0.5295, 0.3028], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.5295, 0.3028] = 453.9104, sampling [1.0, -0.6255, 0.0839]. Recommendation = [0.0, -0.5295, 0.3028], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.5295, 0.3028] = 453.9104, sampling [1.0, -0.3924, 0.1797]. Recommendation = [0.0, -0.5295, 0.3028], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.5295, 0.3028] = 453.9104, sampling [1.0, -0.1610, -0.3574]. Recommendation = [0.0, -0.3924, 0.1797], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.5295, 0.3028] = 453.9104, sampling [1.0, -0.5995, -0.3150]. Recommendation = [0.0, -0.3924, 0.1797], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.5295, 0.3028] = 453.9104, sampling [1.0, -0.1972, -0.0287]. Recommendation = [0.0, -0.3924, 0.1797], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.5295, 0.3028] = 453.9104, sampling [1.0, -0.2675, 0.1543]. Recommendation = [0.0, -0.1972, -0.0287], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.5295, 0.3028] = 453.9104, sampling [1.0, -0.1032, 0.1075]. Recommendation = [0.0, -0.2675, 0.1543], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.5295, 0.3028] = 453.9104, sampling [1.0, -0.0457, -0.0877]. Recommendation = [0.0, -0.2675, 0.1543], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.5295, 0.3028] = 453.9104, sampling [1.0, -0.2172, 0.3214]. Recommendation = [0.0, -0.2675, 0.1543], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.5295, 0.3028] = 453.9104, sampling [1.0, -0.3914, 0.3180]. Recommendation = [0.0, -0.2675, 0.1543], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.5295, 0.3028] = 453.9104, sampling [1.0, -0.2062, 0.1810]. Recommendation = [0.0, -0.2675, 0.1543], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.5295, 0.3028] = 453.9104, sampling [1.0, -0.0954, 0.0322]. Recommendation = [0.0, -0.2675, 0.1543], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.5295, 0.3028] = 453.9104, sampling [1.0, -0.2754, 0.2010]. Recommendation = [0.0, -0.2675, 0.1543], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.5295, 0.3028] = 453.9104, sampling [1.0, -0.4386, 0.2614]. Recommendation = [0.0, -0.2754, 0.2010], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.5295, 0.3028] = 453.9104, sampling [1.0, -0.0295, -0.2950]. Recommendation = [0.0, -0.2754, 0.2010], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.5295, 0.3028] = 453.9104, sampling [1.0, -0.3101, 0.3708]. Recommendation = [0.0, -0.2754, 0.2010], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.5295, 0.3028] = 453.9104, sampling [1.0, 0.0672, -0.0024]. Recommendation = [0.0, -0.2754, 0.2010], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.5295, 0.3028] = 453.9104, sampling [1.0, -0.1404, 0.1976]. Recommendation = [0.0, -0.2754, 0.2010], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.5295, 0.3028] = 453.9104, sampling [1.0, 0.0953, -0.1938]. Recommendation = [0.0, -0.2754, 0.2010], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.5295, 0.3028] = 453.9104, sampling [1.0, -0.4296, 0.4908]. Recommendation = [0.0, -0.2754, 0.2010], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.5295, 0.3028] = 453.9104, sampling [1.0, -0.6158, 0.4736]. Recommendation = [0.0, -0.2754, 0.2010], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.5295, 0.3028] = 453.9104, sampling [1.0, -0.6821, 0.2454]. Recommendation = [0.0, -0.2754, 0.2010], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.5295, 0.3028] = 453.9104, sampling [1.0, -0.2631, 0.5029]. Recommendation = [0.0, -0.2754, 0.2010], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.5295, 0.3028] = 453.9104, sampling [1.0, -0.3021, -0.2741]. Recommendation = [0.0, -0.2754, 0.2010], Current Cost = 5029.00, Rho = 1.000
