(iter 10) [0.0, -1.4903, 1.2524] = 356.2677, sampling [1.0, -0.0099, -0.2140]. Recommendation = [0.0, -1.4903, 1.2524], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -1.4903, 1.2524] = 356.2677, sampling [1.0, -0.2008, 0.0011]. Recommendation = [0.0, -0.0099, -0.2140], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -1.4903, 1.2524] = 356.2677, sampling [1.0, 0.1067, 0.0463]. Recommendation = [0.0, -0.2008, 0.0011], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -1.4903, 1.2524] = 356.2677, sampling [1.0, -0.1510, -0.1012]. Recommendation = [0.0, -0.2008, 0.0011], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -1.4903, 1.2524] = 356.2677, sampling [1.0, -0.3848, 0.2605]. Recommendation = [0.0, -0.1350, -0.0487], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -1.4903, 1.2524] = 356.2677, sampling [1.0, -0.1429, 0.2291]. Recommendation = [0.0, -0.2008, 0.0011], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -1.4903, 1.2524] = 356.2677, sampling [1.0, -0.3572, -0.0030]. Recommendation = [0.0, -0.2008, 0.0011], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -1.4903, 1.2524] = 356.2677, sampling [1.0, -0.6074, 0.4522]. Recommendation = [0.0, -0.2008, 0.0011], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -1.4903, 1.2524] = 356.2677, sampling [1.0, -0.3131, 0.4190]. Recommendation = [0.0, -0.2008, 0.0011], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -1.4903, 1.2524] = 356.2677, sampling [1.0, -0.3059, 0.1264]. Recommendation = [0.0, -0.2008, 0.0011], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -1.4903, 1.2524] = 356.2677, sampling [1.0, -0.5675, 0.1787]. Recommendation = [0.0, -0.2008, 0.0011], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -1.4903, 1.2524] = 356.2677, sampling [1.0, 0.2137, -0.1630]. Recommendation = [0.0, -0.2008, 0.0011], Current Cost = 5016.00, Rho = 1.000
