(iter 10) [0.0, -0.1531, -0.2566] = 447.1278, sampling [1.0, 0.1454, -0.1127]. Recommendation = [0.0, -0.1531, -0.2566], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.1531, -0.2566] = 447.1278, sampling [1.0, -0.1154, 0.1136]. Recommendation = [0.0, -0.1531, -0.2566], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.1531, -0.2566] = 447.1278, sampling [1.0, -0.1169, -0.0369]. Recommendation = [0.0, -0.1154, 0.1136], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.1531, -0.2566] = 447.1278, sampling [1.0, -0.4634, 0.4758]. Recommendation = [0.0, -0.1169, -0.0369], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.1531, -0.2566] = 447.1278, sampling [1.0, -0.8296, 0.8607]. Recommendation = [0.0, -0.1169, -0.0369], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.1531, -0.2566] = 447.1278, sampling [1.0, -0.4933, 0.1715]. Recommendation = [0.0, -0.1169, -0.0369], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.1531, -0.2566] = 447.1278, sampling [1.0, -0.1766, 0.4237]. Recommendation = [0.0, -0.1169, -0.0369], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.1531, -0.2566] = 447.1278, sampling [1.0, -0.5548, 0.7331]. Recommendation = [0.0, -0.1169, -0.0369], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.1531, -0.2566] = 447.1278, sampling [1.0, -0.7797, 0.5235]. Recommendation = [0.0, -0.1169, -0.0369], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.1531, -0.2566] = 447.1278, sampling [1.0, -0.8769, 1.1756]. Recommendation = [0.0, -0.1169, -0.0369], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.1531, -0.2566] = 447.1278, sampling [1.0, -0.6374, 1.0048]. Recommendation = [0.0, -0.1169, -0.0369], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.1531, -0.2566] = 447.1278, sampling [1.0, -0.3637, 0.0193]. Recommendation = [0.0, -0.1169, -0.0369], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.1531, -0.2566] = 447.1278, sampling [1.0, -1.1171, 1.0683]. Recommendation = [0.0, -0.1169, -0.0369], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.1531, -0.2566] = 447.1278, sampling [1.0, -0.4063, 0.2932]. Recommendation = [0.0, -0.1169, -0.0369], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.1531, -0.2566] = 447.1278, sampling [1.0, 0.0596, 0.0910]. Recommendation = [0.0, -0.1169, -0.0369], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.1531, -0.2566] = 447.1278, sampling [1.0, -0.2903, 0.6954]. Recommendation = [0.0, -0.1169, -0.0369], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.1531, -0.2566] = 447.1278, sampling [1.0, -0.6594, 0.3291]. Recommendation = [0.0, -0.1169, -0.0369], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.1531, -0.2566] = 447.1278, sampling [1.0, -0.9286, 0.6643]. Recommendation = [0.0, -0.1169, -0.0369], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.1531, -0.2566] = 447.1278, sampling [1.0, -0.9970, 0.9256]. Recommendation = [0.0, -0.1169, -0.0369], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.1531, -0.2566] = 447.1278, sampling [1.0, -0.6522, 0.5559]. Recommendation = [0.0, -0.1169, -0.0369], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.1531, -0.2566] = 447.1278, sampling [1.0, -1.2409, 0.7709]. Recommendation = [0.0, -0.1169, -0.0369], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.1531, -0.2566] = 447.1278, sampling [1.0, 0.0772, 0.4184]. Recommendation = [0.0, -0.1169, -0.0369], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.1531, -0.2566] = 447.1278, sampling [1.0, 0.4814, -0.0301]. Recommendation = [0.0, -0.1169, -0.0369], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.1531, -0.2566] = 447.1278, sampling [1.0, 0.3145, -0.2287]. Recommendation = [0.0, -0.1169, -0.0369], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.1531, -0.2566] = 447.1278, sampling [1.0, 0.4003, 0.1780]. Recommendation = [0.0, -0.1169, -0.0369], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -0.1531, -0.2566] = 447.1278, sampling [1.0, 0.0295, 0.2643]. Recommendation = [0.0, 0.4003, 0.1780], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -0.1531, -0.2566] = 447.1278, sampling [1.0, 0.2227, 0.3399]. Recommendation = [0.0, 0.4003, 0.1780], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -0.1531, -0.2566] = 447.1278, sampling [1.0, -0.3389, 0.9833]. Recommendation = [0.0, 0.4003, 0.1780], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -0.1531, -0.2566] = 447.1278, sampling [1.0, -0.1826, -0.1119]. Recommendation = [0.0, 0.4003, 0.1780], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, -0.1531, -0.2566] = 447.1278, sampling [1.0, 0.5760, -0.2129]. Recommendation = [0.0, 0.4003, 0.1780], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, -0.1531, -0.2566] = 447.1278, sampling [1.0, 0.4061, 0.3657]. Recommendation = [0.0, 0.4003, 0.1780], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, -0.1531, -0.2566] = 447.1278, sampling [1.0, 0.6234, 0.1394]. Recommendation = [0.0, 0.4003, 0.1780], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, -0.1531, -0.2566] = 447.1278, sampling [1.0, 0.0607, 0.6843]. Recommendation = [0.0, 0.4003, 0.1780], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, -0.1531, -0.2566] = 447.1278, sampling [1.0, 0.3375, 0.5957]. Recommendation = [0.0, 0.4003, 0.1780], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, -0.1531, -0.2566] = 447.1278, sampling [1.0, -0.8983, 0.3139]. Recommendation = [0.0, 0.4003, 0.1780], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, -0.1531, -0.2566] = 447.1278, sampling [1.0, -0.7303, 0.0554]. Recommendation = [0.0, 0.4003, 0.1780], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, -0.1531, -0.2566] = 447.1278, sampling [1.0, -0.3957, -0.1981]. Recommendation = [0.0, 0.4003, 0.1780], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, -0.1531, -0.2566] = 447.1278, sampling [1.0, -0.6654, 0.7235]. Recommendation = [0.0, 0.4003, 0.1780], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, -0.1531, -0.2566] = 447.1278, sampling [1.0, -0.3514, 0.3973]. Recommendation = [0.0, 0.4003, 0.1780], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, -0.1531, -0.2566] = 447.1278, sampling [1.0, 0.2794, 0.4513]. Recommendation = [0.0, 0.4003, 0.1780], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, -0.1531, -0.2566] = 447.1278, sampling [1.0, -0.9672, 1.3322]. Recommendation = [0.0, 0.4003, 0.1780], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, -0.1531, -0.2566] = 447.1278, sampling [1.0, 0.1431, -0.2855]. Recommendation = [0.0, 0.4003, 0.1780], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, -0.1531, -0.2566] = 447.1278, sampling [1.0, -1.0500, 1.1625]. Recommendation = [0.0, 0.4003, 0.1780], Current Cost = 5047.00, Rho = 1.000
