(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, 0.2455, 1.0309]. Recommendation = [0.0, 0.8704, 0.8292], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, -0.4595, 1.2292]. Recommendation = [0.0, 0.8704, 0.8292], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, 0.5896, 0.7274]. Recommendation = [0.0, 0.8704, 0.8292], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, 0.6777, 0.9993]. Recommendation = [0.0, 0.8704, 0.8292], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, 0.1787, 0.6066]. Recommendation = [0.0, 0.6729, 0.8908], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, 0.3819, 0.7817]. Recommendation = [0.0, 0.8704, 0.8292], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, -0.1044, 0.7975]. Recommendation = [0.0, 0.8704, 0.8292], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, 0.4552, 0.5123]. Recommendation = [0.0, 0.8704, 0.8292], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, 0.1184, 0.1891]. Recommendation = [0.0, 0.8704, 0.8292], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, -0.1286, 0.4342]. Recommendation = [0.0, 0.8704, 0.8292], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, 0.1121, 0.3760]. Recommendation = [0.0, 0.8704, 0.8292], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, 0.3705, 0.3099]. Recommendation = [0.0, 0.8704, 0.8292], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, -0.5842, 0.8147]. Recommendation = [0.0, 0.3705, 0.3099], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, -0.8032, 1.0350]. Recommendation = [0.0, 0.3705, 0.3099], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, 0.2925, 0.0066]. Recommendation = [0.0, 0.3705, 0.3099], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, -0.0650, -0.0301]. Recommendation = [0.0, 0.3705, 0.3099], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, 0.1620, -0.3221]. Recommendation = [0.0, -0.0650, -0.0301], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, -0.4515, 0.4015]. Recommendation = [0.0, 0.0227, -0.0019], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, -0.2363, 0.1499]. Recommendation = [0.0, 0.0227, -0.0019], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, -0.1645, -0.3113]. Recommendation = [0.0, 0.0227, -0.0019], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, -0.3420, -0.0798]. Recommendation = [0.0, 0.0227, -0.0019], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, 0.0118, -0.6198]. Recommendation = [0.0, -0.0770, -0.1152], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, -0.3448, 0.5032]. Recommendation = [0.0, -0.0770, -0.1152], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, -0.4342, 0.1716]. Recommendation = [0.0, -0.0770, -0.1152], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, -0.6633, 0.5468]. Recommendation = [0.0, -0.1696, 0.0393], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, 0.0547, 0.0174]. Recommendation = [0.0, -0.0770, -0.1152], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, 0.6005, 0.1631]. Recommendation = [0.0, -0.1534, -0.0117], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, 0.4233, -0.2072]. Recommendation = [0.0, -0.1534, -0.0117], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, 0.3633, -0.6720]. Recommendation = [0.0, -0.1534, -0.0117], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, 0.4343, 0.1382]. Recommendation = [0.0, -0.1534, -0.0117], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, 0.7281, 0.5877]. Recommendation = [0.0, 0.4343, 0.1382], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, 0.0000, -0.3983]. Recommendation = [0.0, 0.4343, 0.1382], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, 0.2331, -0.5066]. Recommendation = [0.0, 0.4343, 0.1382], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, -0.5273, 0.6776]. Recommendation = [0.0, 0.4343, 0.1382], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, 0.7245, 0.3472]. Recommendation = [0.0, 0.4343, 0.1382], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, 0.4893, 0.3673]. Recommendation = [0.0, 0.4343, 0.1382], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, -0.2963, 0.9063]. Recommendation = [0.0, 0.4343, 0.1382], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, -0.7492, 0.7718]. Recommendation = [0.0, 0.4343, 0.1382], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, 0.6133, 0.5268]. Recommendation = [0.0, 0.4343, 0.1382], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, -0.2411, 0.3484]. Recommendation = [0.0, 0.4343, 0.1382], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, -0.1696, 0.0393]. Recommendation = [0.0, 0.4343, 0.1382], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, 0.4772, 0.0146]. Recommendation = [0.0, 0.4343, 0.1382], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, -0.0770, -0.1152]. Recommendation = [0.0, 0.4343, 0.1382], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, -1.0267, 1.0012]. Recommendation = [0.0, 0.4343, 0.1382], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, -0.9732, 0.7282]. Recommendation = [0.0, 0.4343, 0.1382], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, -0.6868, 0.2413]. Recommendation = [0.0, 0.4343, 0.1382], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, -0.6082, 0.3606]. Recommendation = [0.0, 0.4343, 0.1382], Current Cost = 5051.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, 0.5333, -0.3904]. Recommendation = [0.0, 0.4343, 0.1382], Current Cost = 5052.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, 0.3060, -0.3157]. Recommendation = [0.0, 0.4343, 0.1382], Current Cost = 5053.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, 0.6915, -0.0532]. Recommendation = [0.0, 0.4343, 0.1382], Current Cost = 5054.00, Rho = 1.000
(iter 10) [0.0, 0.8704, 0.8292] = 455.7711, sampling [1.0, 0.2910, 0.4058]. Recommendation = [0.0, 0.4343, 0.1382], Current Cost = 5055.00, Rho = 1.000
