(iter 10) [0.0, -1.0581, 1.2248] = 450.9561, sampling [1.0, 0.0893, -0.1496]. Recommendation = [0.0, -1.0581, 1.2248], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -1.0581, 1.2248] = 450.9561, sampling [1.0, 0.4170, 0.0768]. Recommendation = [0.0, 0.0893, -0.1496], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -1.0581, 1.2248] = 450.9561, sampling [1.0, 0.3611, -0.2337]. Recommendation = [0.0, 0.4170, 0.0768], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -1.0581, 1.2248] = 450.9561, sampling [1.0, -0.1015, 0.3247]. Recommendation = [0.0, 0.4170, 0.0768], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -1.0581, 1.2248] = 450.9561, sampling [1.0, 0.1960, 0.1530]. Recommendation = [0.0, 0.4170, 0.0768], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -1.0581, 1.2248] = 450.9561, sampling [1.0, -0.2957, -0.0141]. Recommendation = [0.0, 0.4170, 0.0768], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -1.0581, 1.2248] = 450.9561, sampling [1.0, -0.6263, 0.7286]. Recommendation = [0.0, 0.4170, 0.0768], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -1.0581, 1.2248] = 450.9561, sampling [1.0, -0.5625, 0.4201]. Recommendation = [0.0, 0.4170, 0.0768], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -1.0581, 1.2248] = 450.9561, sampling [1.0, -0.2417, 0.6814]. Recommendation = [0.0, 0.4170, 0.0768], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -1.0581, 1.2248] = 450.9561, sampling [1.0, -0.0980, -0.4550]. Recommendation = [0.0, 0.4170, 0.0768], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -1.0581, 1.2248] = 450.9561, sampling [1.0, -0.7022, 1.0757]. Recommendation = [0.0, 0.4170, 0.0768], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -1.0581, 1.2248] = 450.9561, sampling [1.0, -0.9638, 0.8479]. Recommendation = [0.0, 0.4170, 0.0768], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -1.0581, 1.2248] = 450.9561, sampling [1.0, -0.0151, 0.1046]. Recommendation = [0.0, 0.4170, 0.0768], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -1.0581, 1.2248] = 450.9561, sampling [1.0, -0.5984, 0.0618]. Recommendation = [0.0, 0.4170, 0.0768], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -1.0581, 1.2248] = 450.9561, sampling [1.0, -0.4546, 0.2579]. Recommendation = [0.0, 0.4170, 0.0768], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -1.0581, 1.2248] = 450.9561, sampling [1.0, -0.8569, 0.4895]. Recommendation = [0.0, 0.4170, 0.0768], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -1.0581, 1.2248] = 450.9561, sampling [1.0, -0.3917, -0.3361]. Recommendation = [0.0, 0.4170, 0.0768], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -1.0581, 1.2248] = 450.9561, sampling [1.0, -0.1298, -0.2207]. Recommendation = [0.0, 0.4170, 0.0768], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -1.0581, 1.2248] = 450.9561, sampling [1.0, 0.3314, 0.4123]. Recommendation = [0.0, 0.4170, 0.0768], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -1.0581, 1.2248] = 450.9561, sampling [1.0, 0.5682, 0.2331]. Recommendation = [0.0, 0.4170, 0.0768], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -1.0581, 1.2248] = 450.9561, sampling [1.0, 0.0753, 0.5793]. Recommendation = [0.0, 0.4170, 0.0768], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -1.0581, 1.2248] = 450.9561, sampling [1.0, 0.6538, 0.0006]. Recommendation = [0.0, 0.4170, 0.0768], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -1.0581, 1.2248] = 450.9561, sampling [1.0, -0.8721, 1.0311]. Recommendation = [0.0, 0.4170, 0.0768], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -1.0581, 1.2248] = 450.9561, sampling [1.0, -0.3394, 0.3996]. Recommendation = [0.0, 0.4170, 0.0768], Current Cost = 5028.00, Rho = 1.000
