(iter 10) [0.0, 0.6833, 1.1980] = 402.7498, sampling [1.0, -0.0686, -0.0801]. Recommendation = [0.0, 0.6833, 1.1980], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.6833, 1.1980] = 402.7498, sampling [1.0, 0.2940, 0.3770]. Recommendation = [0.0, -0.0686, -0.0801], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.6833, 1.1980] = 402.7498, sampling [1.0, -0.0914, 0.3185]. Recommendation = [0.0, -0.0686, -0.0801], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.6833, 1.1980] = 402.7498, sampling [1.0, 0.3171, 0.0224]. Recommendation = [0.0, -0.0686, -0.0801], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.6833, 1.1980] = 402.7498, sampling [1.0, 0.6112, 0.6232]. Recommendation = [0.0, 0.1363, 0.1477], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.6833, 1.1980] = 402.7498, sampling [1.0, 0.3109, 0.7694]. Recommendation = [0.0, 0.1363, 0.1477], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.6833, 1.1980] = 402.7498, sampling [1.0, -0.2178, -0.3511]. Recommendation = [0.0, 0.1363, 0.1477], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.6833, 1.1980] = 402.7498, sampling [1.0, 0.6847, 0.2413]. Recommendation = [0.0, 0.1363, 0.1477], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.6833, 1.1980] = 402.7498, sampling [1.0, 0.2722, -0.3608]. Recommendation = [0.0, 0.2494, 0.1831], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.6833, 1.1980] = 402.7498, sampling [1.0, -0.2789, -0.0107]. Recommendation = [0.0, 0.1363, 0.1477], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.6833, 1.1980] = 402.7498, sampling [1.0, 0.1363, 0.1477]. Recommendation = [0.0, 0.1363, 0.1477], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.6833, 1.1980] = 402.7498, sampling [1.0, 0.9129, 0.7840]. Recommendation = [0.0, -0.0686, -0.0801], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.6833, 1.1980] = 402.7498, sampling [1.0, 0.4634, 0.2026]. Recommendation = [0.0, -0.0686, -0.0801], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.6833, 1.1980] = 402.7498, sampling [1.0, 0.8666, 0.4915]. Recommendation = [0.0, 0.4129, 0.2120], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.6833, 1.1980] = 402.7498, sampling [1.0, 0.5239, -0.1646]. Recommendation = [0.0, 0.8207, 0.5461], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.6833, 1.1980] = 402.7498, sampling [1.0, 0.1568, -0.1129]. Recommendation = [0.0, 0.8207, 0.5461], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.6833, 1.1980] = 402.7498, sampling [1.0, 1.0069, 0.1163]. Recommendation = [0.0, 0.8207, 0.5461], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.6833, 1.1980] = 402.7498, sampling [1.0, 0.5378, 0.8995]. Recommendation = [0.0, 0.8207, 0.5461], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.6833, 1.1980] = 402.7498, sampling [1.0, 0.4669, 0.3617]. Recommendation = [0.0, 0.8207, 0.5461], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.6833, 1.1980] = 402.7498, sampling [1.0, -0.4019, -0.1421]. Recommendation = [0.0, 0.8207, 0.5461], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.6833, 1.1980] = 402.7498, sampling [1.0, 1.1738, 0.6276]. Recommendation = [0.0, 0.8207, 0.5461], Current Cost = 5025.00, Rho = 1.000
