(iter 10) [0.0, 0.5720, -0.6715] = 356.3741, sampling [1.0, 0.6074, -0.4234]. Recommendation = [0.0, 0.5720, -0.6715], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.5720, -0.6715] = 356.3741, sampling [1.0, 0.4803, -0.3337]. Recommendation = [0.0, 0.6074, -0.4234], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.5720, -0.6715] = 356.3741, sampling [1.0, 0.4883, -0.1076]. Recommendation = [0.0, 0.4803, -0.3337], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.5720, -0.6715] = 356.3741, sampling [1.0, 0.4258, -0.0722]. Recommendation = [0.0, 0.4883, -0.1076], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.5720, -0.6715] = 356.3741, sampling [1.0, 0.4643, 0.0339]. Recommendation = [0.0, 0.4258, -0.0722], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.5720, -0.6715] = 356.3741, sampling [1.0, 0.4529, 0.0683]. Recommendation = [0.0, 0.4643, 0.0339], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.5720, -0.6715] = 356.3741, sampling [1.0, 0.3194, 0.0510]. Recommendation = [0.0, 0.4529, 0.0683], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.5720, -0.6715] = 356.3741, sampling [1.0, 0.4288, 0.2120]. Recommendation = [0.0, 0.4529, 0.0683], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.5720, -0.6715] = 356.3741, sampling [1.0, 0.6082, 0.1175]. Recommendation = [0.0, 0.4529, 0.0683], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.5720, -0.6715] = 356.3741, sampling [1.0, 0.3000, 0.1680]. Recommendation = [0.0, 0.4529, 0.0683], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.5720, -0.6715] = 356.3741, sampling [1.0, 0.5265, 0.2834]. Recommendation = [0.0, 0.4529, 0.0683], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.5720, -0.6715] = 356.3741, sampling [1.0, 0.2669, -0.0288]. Recommendation = [0.0, 0.4529, 0.0683], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.5720, -0.6715] = 356.3741, sampling [1.0, 0.2571, 0.1534]. Recommendation = [0.0, 0.4529, 0.0683], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.5720, -0.6715] = 356.3741, sampling [1.0, 0.3092, 0.4230]. Recommendation = [0.0, 0.4529, 0.0683], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.5720, -0.6715] = 356.3741, sampling [1.0, 0.2122, 0.3802]. Recommendation = [0.0, 0.4529, 0.0683], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.5720, -0.6715] = 356.3741, sampling [1.0, 0.1729, 0.0979]. Recommendation = [0.0, 0.4529, 0.0683], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.5720, -0.6715] = 356.3741, sampling [1.0, 0.3812, -0.2131]. Recommendation = [0.0, 0.4529, 0.0683], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.5720, -0.6715] = 356.3741, sampling [1.0, 0.3896, 0.5210]. Recommendation = [0.0, 0.4529, 0.0683], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.5720, -0.6715] = 356.3741, sampling [1.0, 0.7082, -0.0087]. Recommendation = [0.0, 0.4529, 0.0683], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.5720, -0.6715] = 356.3741, sampling [1.0, 0.5858, 0.4054]. Recommendation = [0.0, 0.4529, 0.0683], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.5720, -0.6715] = 356.3741, sampling [1.0, 0.5617, 0.2622]. Recommendation = [0.0, 0.4529, 0.0683], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.5720, -0.6715] = 356.3741, sampling [1.0, 0.0458, 0.2651]. Recommendation = [0.0, 0.4529, 0.0683], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.5720, -0.6715] = 356.3741, sampling [1.0, 0.5567, 0.3116]. Recommendation = [0.0, 0.4529, 0.0683], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.5720, -0.6715] = 356.3741, sampling [1.0, 0.1940, -0.1950]. Recommendation = [0.0, 0.4529, 0.0683], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.5720, -0.6715] = 356.3741, sampling [1.0, 0.1459, 0.0479]. Recommendation = [0.0, 0.4529, 0.0683], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.5720, -0.6715] = 356.3741, sampling [1.0, 0.6947, 0.2698]. Recommendation = [0.0, 0.4529, 0.0683], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.5720, -0.6715] = 356.3741, sampling [1.0, 0.5409, 0.4966]. Recommendation = [0.0, 0.4529, 0.0683], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.5720, -0.6715] = 356.3741, sampling [1.0, 0.2894, 0.5638]. Recommendation = [0.0, 0.4529, 0.0683], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.5720, -0.6715] = 356.3741, sampling [1.0, 0.6221, 0.1489]. Recommendation = [0.0, 0.4529, 0.0683], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.5720, -0.6715] = 356.3741, sampling [1.0, 0.1981, 0.4038]. Recommendation = [0.0, 0.4529, 0.0683], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.5720, -0.6715] = 356.3741, sampling [1.0, 0.2626, -0.3288]. Recommendation = [0.0, 0.4529, 0.0683], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 0.5720, -0.6715] = 356.3741, sampling [1.0, 0.7145, 0.1993]. Recommendation = [0.0, 0.4529, 0.0683], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 0.5720, -0.6715] = 356.3741, sampling [1.0, 0.0737, 0.5874]. Recommendation = [0.0, 0.4529, 0.0683], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 0.5720, -0.6715] = 356.3741, sampling [1.0, -0.0092, 0.3877]. Recommendation = [0.0, 0.4529, 0.0683], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, 0.5720, -0.6715] = 356.3741, sampling [1.0, 0.1292, 0.1002]. Recommendation = [0.0, 0.4529, 0.0683], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, 0.5720, -0.6715] = 356.3741, sampling [1.0, -0.0932, -0.0544]. Recommendation = [0.0, 0.4529, 0.0683], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, 0.5720, -0.6715] = 356.3741, sampling [1.0, -0.1336, 0.0768]. Recommendation = [0.0, 0.4529, 0.0683], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, 0.5720, -0.6715] = 356.3741, sampling [1.0, -0.0400, 0.1783]. Recommendation = [0.0, 0.4529, 0.0683], Current Cost = 5042.00, Rho = 1.000
