(iter 10) [0.0, 0.7648, 1.0981] = 429.9122, sampling [1.0, -0.1174, 0.5609]. Recommendation = [0.0, 0.7648, 1.0981], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.7648, 1.0981] = 429.9122, sampling [1.0, -0.2261, 0.0050]. Recommendation = [0.0, 0.7648, 1.0981], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.7648, 1.0981] = 429.9122, sampling [1.0, 0.1701, 1.1027]. Recommendation = [0.0, -0.2261, 0.0050], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.7648, 1.0981] = 429.9122, sampling [1.0, -0.6485, 0.3238]. Recommendation = [0.0, -0.2261, 0.0050], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.7648, 1.0981] = 429.9122, sampling [1.0, -0.3542, 0.2448]. Recommendation = [0.0, -0.2570, 0.0367], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.7648, 1.0981] = 429.9122, sampling [1.0, -0.5466, 0.7951]. Recommendation = [0.0, -0.2570, 0.0367], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.7648, 1.0981] = 429.9122, sampling [1.0, 0.0466, 0.2157]. Recommendation = [0.0, -0.2570, 0.0367], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.7648, 1.0981] = 429.9122, sampling [1.0, -0.0413, -0.2065]. Recommendation = [0.0, -0.2570, 0.0367], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.7648, 1.0981] = 429.9122, sampling [1.0, 0.4829, 0.5995]. Recommendation = [0.0, -0.2501, -0.1564], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.7648, 1.0981] = 429.9122, sampling [1.0, -0.2886, -0.2461]. Recommendation = [0.0, -0.2501, -0.1564], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.7648, 1.0981] = 429.9122, sampling [1.0, -1.0000, 0.0554]. Recommendation = [0.0, -0.0413, -0.2065], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.7648, 1.0981] = 429.9122, sampling [1.0, -0.5161, 0.0320]. Recommendation = [0.0, -0.0413, -0.2065], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.7648, 1.0981] = 429.9122, sampling [1.0, -0.3812, 0.5311]. Recommendation = [0.0, -0.0413, -0.2065], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.7648, 1.0981] = 429.9122, sampling [1.0, 0.2256, 0.6079]. Recommendation = [0.0, -0.0413, -0.2065], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.7648, 1.0981] = 429.9122, sampling [1.0, -0.8803, 0.7520]. Recommendation = [0.0, -0.0413, -0.2065], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.7648, 1.0981] = 429.9122, sampling [1.0, -0.5557, 1.2241]. Recommendation = [0.0, -0.0413, -0.2065], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.7648, 1.0981] = 429.9122, sampling [1.0, 0.5143, 0.9392]. Recommendation = [0.0, -0.0413, -0.2065], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.7648, 1.0981] = 429.9122, sampling [1.0, -0.6982, 0.6363]. Recommendation = [0.0, -0.0413, -0.2065], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.7648, 1.0981] = 429.9122, sampling [1.0, -0.2142, 0.8642]. Recommendation = [0.0, -0.0413, -0.2065], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.7648, 1.0981] = 429.9122, sampling [1.0, 0.2922, 0.2245]. Recommendation = [0.0, -0.0413, -0.2065], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.7648, 1.0981] = 429.9122, sampling [1.0, 0.1183, -0.0452]. Recommendation = [0.0, 0.2922, 0.2245], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.7648, 1.0981] = 429.9122, sampling [1.0, -1.3002, 0.7095]. Recommendation = [0.0, 0.2922, 0.2245], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.7648, 1.0981] = 429.9122, sampling [1.0, -0.8692, 0.4643]. Recommendation = [0.0, 0.2922, 0.2245], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.7648, 1.0981] = 429.9122, sampling [1.0, -0.2066, 0.1818]. Recommendation = [0.0, 0.2922, 0.2245], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.7648, 1.0981] = 429.9122, sampling [1.0, 0.1745, 0.3526]. Recommendation = [0.0, 0.2922, 0.2245], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.7648, 1.0981] = 429.9122, sampling [1.0, -0.2944, -0.4692]. Recommendation = [0.0, 0.2922, 0.2245], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.7648, 1.0981] = 429.9122, sampling [1.0, -0.9372, 1.0560]. Recommendation = [0.0, 0.2922, 0.2245], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.7648, 1.0981] = 429.9122, sampling [1.0, 0.7841, 0.7802]. Recommendation = [0.0, 0.2922, 0.2245], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.7648, 1.0981] = 429.9122, sampling [1.0, 0.6198, 0.3466]. Recommendation = [0.0, 0.7841, 0.7802], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.7648, 1.0981] = 429.9122, sampling [1.0, 0.4479, 0.4180]. Recommendation = [0.0, 0.7841, 0.7802], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.7648, 1.0981] = 429.9122, sampling [1.0, 0.6385, 0.6989]. Recommendation = [0.0, 0.7841, 0.7802], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 0.7648, 1.0981] = 429.9122, sampling [1.0, -0.6737, 0.9662]. Recommendation = [0.0, 0.7841, 0.7802], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 0.7648, 1.0981] = 429.9122, sampling [1.0, 0.8124, 0.5010]. Recommendation = [0.0, 0.7841, 0.7802], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 0.7648, 1.0981] = 429.9122, sampling [1.0, 1.0468, 0.8874]. Recommendation = [0.0, 0.8124, 0.5010], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, 0.7648, 1.0981] = 429.9122, sampling [1.0, 0.9585, 0.6568]. Recommendation = [0.0, 0.8124, 0.5010], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, 0.7648, 1.0981] = 429.9122, sampling [1.0, 0.5161, 0.0599]. Recommendation = [0.0, 0.8701, 0.7155], Current Cost = 5040.00, Rho = 1.000
