(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.5242, 1.0011]. Recommendation = [0.0, 0.0456, 1.3387], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.6031, 0.8719]. Recommendation = [0.0, -0.5242, 1.0011], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.5930, 0.7357]. Recommendation = [0.0, -0.6031, 0.8719], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.3822, 0.7647]. Recommendation = [0.0, -0.5930, 0.7357], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.7456, 0.7148]. Recommendation = [0.0, -0.5930, 0.7357], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.6330, 0.5982]. Recommendation = [0.0, -0.5930, 0.7357], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.4662, 0.5420]. Recommendation = [0.0, -0.6509, 0.7218], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.5499, 0.4807]. Recommendation = [0.0, -0.4662, 0.5420], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.8014, 0.6032]. Recommendation = [0.0, -0.4662, 0.5420], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.6943, 0.6210]. Recommendation = [0.0, -0.4662, 0.5420], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.8088, 0.4074]. Recommendation = [0.0, -0.4662, 0.5420], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.5667, 0.3523]. Recommendation = [0.0, -0.4662, 0.5420], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.4313, 0.4517]. Recommendation = [0.0, -0.4662, 0.5420], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.3105, 0.5004]. Recommendation = [0.0, -0.4313, 0.4517], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.4026, 0.6287]. Recommendation = [0.0, -0.4313, 0.4517], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.4436, 0.3631]. Recommendation = [0.0, -0.4313, 0.4517], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.6717, 0.2594]. Recommendation = [0.0, -0.4436, 0.3631], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.2957, 0.3150]. Recommendation = [0.0, -0.4436, 0.3631], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.4709, 0.1486]. Recommendation = [0.0, -0.2957, 0.3150], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.3255, 0.2027]. Recommendation = [0.0, -0.2957, 0.3150], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.1462, 0.3457]. Recommendation = [0.0, -0.3255, 0.2027], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.2423, 0.2238]. Recommendation = [0.0, -0.3255, 0.2027], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.2475, 0.1075]. Recommendation = [0.0, -0.2423, 0.2238], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.3763, 0.1192]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.2263, 0.1753]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.0918, 0.2105]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.1235, -0.0067]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.3225, 0.0526]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.0533, 0.0643]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.2081, -0.1563]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.5045, -0.0880]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.6272, 0.1022]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.4469, 0.0176]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.1326, -0.0504]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.1901, 0.5389]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.0562, -0.0474]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.0665, -0.1704]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, 0.0681, 0.0756]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.8797, 0.2443]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.7814, 0.2906]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.2564, 0.2748]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.1142, -0.2551]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, 0.0230, 0.3282]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.5422, 0.2996]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.9039, 0.7082]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.9884, 0.5705]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.9108, 0.8348]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5051.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.7761, 1.0435]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5052.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.3846, 0.4974]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5053.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.8993, 0.3360]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5054.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.8454, 0.0438]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5055.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, 0.0032, 0.0890]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5056.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.2646, 0.4524]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5057.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.0871, -0.0544]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5058.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.6509, 0.7218]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5059.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, 0.1903, -0.0229]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5060.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, 0.1852, 0.2188]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5061.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, 0.1605, 0.1235]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5062.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, 0.1032, 0.2697]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5063.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, 0.0903, 0.5847]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5064.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.0944, 0.7560]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5065.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.0697, 0.4402]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5066.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, 0.2232, 0.4016]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5067.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, 0.2004, 0.3327]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5068.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, 0.1672, 0.4889]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5069.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, 0.2356, -0.3167]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5070.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, 0.0574, -0.4786]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5071.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, -0.2034, -0.4553]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5072.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, 0.1587, -0.4049]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5073.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, 0.3386, 0.2302]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5074.00, Rho = 1.000
(iter 10) [0.0, 0.0456, 1.3387] = 276.7448, sampling [1.0, 0.3214, 0.3514]. Recommendation = [0.0, -0.2475, 0.1075], Current Cost = 5075.00, Rho = 1.000
