(iter 10) [0.0, -0.1755, -0.7600] = 392.3845, sampling [1.0, 0.3444, -0.5875]. Recommendation = [0.0, -0.1755, -0.7600], Current Cost = 5005.00, Rho = 0.997
(iter 10) [0.0, -0.1755, -0.7600] = 392.3845, sampling [1.0, 0.1183, -0.6371]. Recommendation = [0.0, 0.3444, -0.5875], Current Cost = 5006.00, Rho = 0.997
(iter 10) [0.0, -0.1755, -0.7600] = 392.3845, sampling [1.0, 0.2976, -0.1997]. Recommendation = [0.0, 0.1183, -0.6371], Current Cost = 5007.00, Rho = 0.997
(iter 10) [0.0, -0.1755, -0.7600] = 392.3845, sampling [1.0, 0.5886, -0.2704]. Recommendation = [0.0, 0.2976, -0.1997], Current Cost = 5008.00, Rho = 0.997
(iter 10) [0.0, -0.1755, -0.7600] = 392.3845, sampling [1.0, 0.2436, -0.4294]. Recommendation = [0.0, 0.2976, -0.1997], Current Cost = 5009.00, Rho = 0.997
(iter 10) [0.0, -0.1755, -0.7600] = 392.3845, sampling [1.0, 0.4187, -0.3905]. Recommendation = [0.0, 0.2976, -0.1997], Current Cost = 5010.00, Rho = 0.997
(iter 10) [0.0, -0.1755, -0.7600] = 392.3845, sampling [1.0, 0.4690, -0.0753]. Recommendation = [0.0, 0.2976, -0.1997], Current Cost = 5011.00, Rho = 0.997
(iter 10) [0.0, -0.1755, -0.7600] = 392.3845, sampling [1.0, 0.5784, 0.0018]. Recommendation = [0.0, 0.4690, -0.0753], Current Cost = 5012.00, Rho = 0.997
(iter 10) [0.0, -0.1755, -0.7600] = 392.3845, sampling [1.0, 0.2855, 0.0046]. Recommendation = [0.0, 0.4690, -0.0753], Current Cost = 5013.00, Rho = 0.997
(iter 10) [0.0, -0.1755, -0.7600] = 392.3845, sampling [1.0, 0.0775, -0.2498]. Recommendation = [0.0, 0.4690, -0.0753], Current Cost = 5014.00, Rho = 0.997
(iter 10) [0.0, -0.1755, -0.7600] = 392.3845, sampling [1.0, 0.5132, 0.2922]. Recommendation = [0.0, 0.0775, -0.2498], Current Cost = 5015.00, Rho = 0.997
