(iter 10) [0.0, 0.2239, -0.1651] = 451.0632, sampling [1.0, -0.6189, 0.4655]. Recommendation = [0.0, 0.2239, -0.1651], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.2239, -0.1651] = 451.0632, sampling [1.0, -0.3429, 0.0935]. Recommendation = [0.0, 0.2239, -0.1651], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.2239, -0.1651] = 451.0632, sampling [1.0, -0.0431, 0.1114]. Recommendation = [0.0, -0.3429, 0.0935], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.2239, -0.1651] = 451.0632, sampling [1.0, -0.2868, 0.3211]. Recommendation = [0.0, -0.3429, 0.0935], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.2239, -0.1651] = 451.0632, sampling [1.0, -0.5657, 0.2788]. Recommendation = [0.0, -0.2868, 0.3211], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.2239, -0.1651] = 451.0632, sampling [1.0, -0.0889, -0.1568]. Recommendation = [0.0, -0.2868, 0.3211], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.2239, -0.1651] = 451.0632, sampling [1.0, 0.1118, -0.0026]. Recommendation = [0.0, -0.0889, -0.1568], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.2239, -0.1651] = 451.0632, sampling [1.0, -0.1785, -0.0887]. Recommendation = [0.0, -0.0889, -0.1568], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.2239, -0.1651] = 451.0632, sampling [1.0, -0.6606, 0.7417]. Recommendation = [0.0, -0.0889, -0.1568], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.2239, -0.1651] = 451.0632, sampling [1.0, -0.4058, 0.5487]. Recommendation = [0.0, -0.0889, -0.1568], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.2239, -0.1651] = 451.0632, sampling [1.0, -0.4168, 0.3615]. Recommendation = [0.0, -0.0889, -0.1568], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.2239, -0.1651] = 451.0632, sampling [1.0, -0.7853, 0.5524]. Recommendation = [0.0, -0.0889, -0.1568], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.2239, -0.1651] = 451.0632, sampling [1.0, -0.0552, 0.3592]. Recommendation = [0.0, -0.0889, -0.1568], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.2239, -0.1651] = 451.0632, sampling [1.0, -0.9500, 1.0382]. Recommendation = [0.0, -0.0889, -0.1568], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.2239, -0.1651] = 451.0632, sampling [1.0, -1.0331, 0.7747]. Recommendation = [0.0, -0.0889, -0.1568], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.2239, -0.1651] = 451.0632, sampling [1.0, -0.8062, 0.8844]. Recommendation = [0.0, -0.0889, -0.1568], Current Cost = 5020.00, Rho = 1.000
