(iter 10) [0.0, -0.0658, 0.1124] = 453.9966, sampling [1.0, 0.2501, 0.3263]. Recommendation = [0.0, -0.0658, 0.1124], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.0658, 0.1124] = 453.9966, sampling [1.0, 0.5181, 0.5436]. Recommendation = [0.0, 0.2501, 0.3263], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.0658, 0.1124] = 453.9966, sampling [1.0, 0.3500, 0.1453]. Recommendation = [0.0, 0.2501, 0.3263], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.0658, 0.1124] = 453.9966, sampling [1.0, 0.2066, 0.0876]. Recommendation = [0.0, 0.3500, 0.1453], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.0658, 0.1124] = 453.9966, sampling [1.0, 0.4445, 0.2929]. Recommendation = [0.0, 0.3500, 0.1453], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.0658, 0.1124] = 453.9966, sampling [1.0, 0.1849, 0.4987]. Recommendation = [0.0, 0.3500, 0.1453], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.0658, 0.1124] = 453.9966, sampling [1.0, 0.3028, 0.2434]. Recommendation = [0.0, 0.3500, 0.1453], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.0658, 0.1124] = 453.9966, sampling [1.0, 0.9075, 0.3171]. Recommendation = [0.0, 0.3500, 0.1453], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.0658, 0.1124] = 453.9966, sampling [1.0, 0.5646, 0.0204]. Recommendation = [0.0, 0.3500, 0.1453], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.0658, 0.1124] = 453.9966, sampling [1.0, 0.5761, 0.3770]. Recommendation = [0.0, 0.3500, 0.1453], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.0658, 0.1124] = 453.9966, sampling [1.0, 0.8778, 0.6850]. Recommendation = [0.0, 0.3500, 0.1453], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.0658, 0.1124] = 453.9966, sampling [1.0, 0.7713, 0.5471]. Recommendation = [0.0, 0.3500, 0.1453], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.0658, 0.1124] = 453.9966, sampling [1.0, 0.6780, 0.7816]. Recommendation = [0.0, 0.3500, 0.1453], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.0658, 0.1124] = 453.9966, sampling [1.0, 0.9022, 0.9015]. Recommendation = [0.0, 0.3500, 0.1453], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.0658, 0.1124] = 453.9966, sampling [1.0, 1.1160, 0.6586]. Recommendation = [0.0, 0.3500, 0.1453], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.0658, 0.1124] = 453.9966, sampling [1.0, 0.7268, 0.6057]. Recommendation = [0.0, 0.3500, 0.1453], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.0658, 0.1124] = 453.9966, sampling [1.0, 0.4635, 0.8953]. Recommendation = [0.0, 0.3500, 0.1453], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.0658, 0.1124] = 453.9966, sampling [1.0, -0.0900, 0.3301]. Recommendation = [0.0, 0.3500, 0.1453], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.0658, 0.1124] = 453.9966, sampling [1.0, 0.7916, 0.4726]. Recommendation = [0.0, 0.3500, 0.1453], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.0658, 0.1124] = 453.9966, sampling [1.0, 0.1358, 0.3753]. Recommendation = [0.0, 0.3500, 0.1453], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.0658, 0.1124] = 453.9966, sampling [1.0, 0.4428, -0.0285]. Recommendation = [0.0, 0.3500, 0.1453], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.0658, 0.1124] = 453.9966, sampling [1.0, 0.3159, 0.0889]. Recommendation = [0.0, 0.3500, 0.1453], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.0658, 0.1124] = 453.9966, sampling [1.0, 0.8247, 0.7772]. Recommendation = [0.0, 0.3500, 0.1453], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.0658, 0.1124] = 453.9966, sampling [1.0, 0.3558, 0.2394]. Recommendation = [0.0, 0.3500, 0.1453], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.0658, 0.1124] = 453.9966, sampling [1.0, 0.3837, 0.3912]. Recommendation = [0.0, 0.3500, 0.1453], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -0.0658, 0.1124] = 453.9966, sampling [1.0, 0.8980, 0.5015]. Recommendation = [0.0, 0.3500, 0.1453], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -0.0658, 0.1124] = 453.9966, sampling [1.0, 0.1052, 0.0079]. Recommendation = [0.0, 0.3500, 0.1453], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -0.0658, 0.1124] = 453.9966, sampling [1.0, 0.8592, 0.1275]. Recommendation = [0.0, 0.3500, 0.1453], Current Cost = 5032.00, Rho = 1.000
