(iter 10) [0.0, -0.7003, 1.4024] = 370.2388, sampling [1.0, -0.0717, -0.0861]. Recommendation = [0.0, -0.7003, 1.4024], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.7003, 1.4024] = 370.2388, sampling [1.0, 0.0465, 0.2242]. Recommendation = [0.0, -0.0717, -0.0861], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.7003, 1.4024] = 370.2388, sampling [1.0, -0.1999, 0.0905]. Recommendation = [0.0, -0.0717, -0.0861], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.7003, 1.4024] = 370.2388, sampling [1.0, -0.2571, -0.2332]. Recommendation = [0.0, -0.1999, 0.0905], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.7003, 1.4024] = 370.2388, sampling [1.0, -0.3343, 0.4203]. Recommendation = [0.0, -0.1272, -0.0380], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.7003, 1.4024] = 370.2388, sampling [1.0, -0.4135, 0.0826]. Recommendation = [0.0, -0.1999, 0.0905], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.7003, 1.4024] = 370.2388, sampling [1.0, -0.2503, 0.1741]. Recommendation = [0.0, -0.1550, -0.0061], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.7003, 1.4024] = 370.2388, sampling [1.0, -0.1941, 0.3970]. Recommendation = [0.0, -0.1550, -0.0061], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.7003, 1.4024] = 370.2388, sampling [1.0, 0.0092, -0.2483]. Recommendation = [0.0, -0.1550, -0.0061], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.7003, 1.4024] = 370.2388, sampling [1.0, 0.0750, -0.0289]. Recommendation = [0.0, -0.1999, 0.0905], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.7003, 1.4024] = 370.2388, sampling [1.0, -0.1550, -0.0061]. Recommendation = [0.0, -0.1999, 0.0905], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.7003, 1.4024] = 370.2388, sampling [1.0, -0.3679, 0.7343]. Recommendation = [0.0, -0.1550, -0.0061], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.7003, 1.4024] = 370.2388, sampling [1.0, -0.1036, -0.2049]. Recommendation = [0.0, -0.1550, -0.0061], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.7003, 1.4024] = 370.2388, sampling [1.0, -0.1717, -0.4589]. Recommendation = [0.0, -0.1550, -0.0061], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.7003, 1.4024] = 370.2388, sampling [1.0, -0.5639, 0.3885]. Recommendation = [0.0, -0.1550, -0.0061], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.7003, 1.4024] = 370.2388, sampling [1.0, 0.0326, 0.5217]. Recommendation = [0.0, -0.1550, -0.0061], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.7003, 1.4024] = 370.2388, sampling [1.0, 0.2771, -0.0099]. Recommendation = [0.0, -0.1550, -0.0061], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.7003, 1.4024] = 370.2388, sampling [1.0, 0.1952, -0.3146]. Recommendation = [0.0, -0.1550, -0.0061], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.7003, 1.4024] = 370.2388, sampling [1.0, 0.1900, -0.1207]. Recommendation = [0.0, -0.1550, -0.0061], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.7003, 1.4024] = 370.2388, sampling [1.0, 0.2992, 0.2888]. Recommendation = [0.0, -0.1550, -0.0061], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.7003, 1.4024] = 370.2388, sampling [1.0, 0.2358, 0.1025]. Recommendation = [0.0, -0.1550, -0.0061], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.7003, 1.4024] = 370.2388, sampling [1.0, 0.4265, 0.1509]. Recommendation = [0.0, -0.1550, -0.0061], Current Cost = 5026.00, Rho = 1.000
