(iter 10) [0.0, 0.7094, 0.4372] = 455.7800, sampling [1.0, -0.0251, 0.7669]. Recommendation = [0.0, -0.0000, 0.5509], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.7094, 0.4372] = 455.7800, sampling [1.0, -0.1857, 1.5549]. Recommendation = [0.0, 0.7094, 0.4372], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.7094, 0.4372] = 455.7800, sampling [1.0, -0.1262, 0.3147]. Recommendation = [0.0, 0.7094, 0.4372], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.7094, 0.4372] = 455.7800, sampling [1.0, 0.2713, 0.4097]. Recommendation = [0.0, 0.7094, 0.4372], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.7094, 0.4372] = 455.7800, sampling [1.0, -0.5735, 0.6550]. Recommendation = [0.0, 0.7094, 0.4372], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.7094, 0.4372] = 455.7800, sampling [1.0, 0.4392, 0.6888]. Recommendation = [0.0, 0.7094, 0.4372], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.7094, 0.4372] = 455.7800, sampling [1.0, -0.3076, 0.4490]. Recommendation = [0.0, 0.7094, 0.4372], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.7094, 0.4372] = 455.7800, sampling [1.0, -0.8324, 0.9783]. Recommendation = [0.0, 0.7094, 0.4372], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.7094, 0.4372] = 455.7800, sampling [1.0, -0.5175, 0.3292]. Recommendation = [0.0, 0.7094, 0.4372], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.7094, 0.4372] = 455.7800, sampling [1.0, -0.5056, 0.8740]. Recommendation = [0.0, 0.7094, 0.4372], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.7094, 0.4372] = 455.7800, sampling [1.0, 0.4773, 0.4427]. Recommendation = [0.0, 0.7094, 0.4372], Current Cost = 5015.00, Rho = 1.000
