(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, -0.6099, 0.0246]. Recommendation = [0.0, -0.8214, 0.0713], Current Cost = 5005.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, -0.5597, 0.1558]. Recommendation = [0.0, -0.6099, 0.0246], Current Cost = 5006.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, -0.4736, 0.1395]. Recommendation = [0.0, -0.5597, 0.1558], Current Cost = 5007.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, -0.3088, -0.0300]. Recommendation = [0.0, -0.4736, 0.1395], Current Cost = 5008.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, -0.2863, 0.1237]. Recommendation = [0.0, -0.3088, -0.0300], Current Cost = 5009.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, -0.2159, 0.1079]. Recommendation = [0.0, -0.2863, 0.1237], Current Cost = 5010.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, -0.2227, 0.1771]. Recommendation = [0.0, -0.2159, 0.1079], Current Cost = 5011.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, -0.0805, 0.0575]. Recommendation = [0.0, -0.2159, 0.1079], Current Cost = 5012.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, -0.1782, -0.0871]. Recommendation = [0.0, -0.2159, 0.1079], Current Cost = 5013.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, -0.0649, -0.0940]. Recommendation = [0.0, -0.2159, 0.1079], Current Cost = 5014.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, -0.0900, -0.1304]. Recommendation = [0.0, -0.0649, -0.0940], Current Cost = 5015.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, -0.0231, 0.0133]. Recommendation = [0.0, -0.0649, -0.0940], Current Cost = 5016.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, -0.0787, -0.2409]. Recommendation = [0.0, -0.0649, -0.0940], Current Cost = 5017.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, 0.0527, -0.1916]. Recommendation = [0.0, -0.0649, -0.0940], Current Cost = 5018.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, 0.0391, -0.0413]. Recommendation = [0.0, -0.0649, -0.0940], Current Cost = 5019.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, -0.1448, 0.2710]. Recommendation = [0.0, -0.0649, -0.0940], Current Cost = 5020.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, -0.2671, -0.2951]. Recommendation = [0.0, -0.0649, -0.0940], Current Cost = 5021.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, -0.3255, 0.2516]. Recommendation = [0.0, -0.0649, -0.0940], Current Cost = 5022.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, 0.0256, 0.2214]. Recommendation = [0.0, -0.0649, -0.0940], Current Cost = 5023.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, 0.0663, -0.2505]. Recommendation = [0.0, -0.0649, -0.0940], Current Cost = 5024.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, 0.0706, -0.1693]. Recommendation = [0.0, -0.0649, -0.0940], Current Cost = 5025.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, -0.3959, 0.2467]. Recommendation = [0.0, -0.0649, -0.0940], Current Cost = 5026.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, -0.2886, -0.1236]. Recommendation = [0.0, -0.0649, -0.0940], Current Cost = 5027.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, -0.3851, 0.3365]. Recommendation = [0.0, -0.0649, -0.0940], Current Cost = 5028.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, -0.0568, -0.3616]. Recommendation = [0.0, -0.0649, -0.0940], Current Cost = 5029.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, -0.1955, 0.2814]. Recommendation = [0.0, -0.0649, -0.0940], Current Cost = 5030.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, 0.0992, 0.0634]. Recommendation = [0.0, -0.0649, -0.0940], Current Cost = 5031.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, -0.3713, 0.2640]. Recommendation = [0.0, -0.0649, -0.0940], Current Cost = 5032.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, -0.4906, 0.3358]. Recommendation = [0.0, -0.0649, -0.0940], Current Cost = 5033.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, -0.3804, 0.4844]. Recommendation = [0.0, -0.0649, -0.0940], Current Cost = 5034.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, -0.1540, 0.3912]. Recommendation = [0.0, -0.0649, -0.0940], Current Cost = 5035.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, 0.1914, -0.1925]. Recommendation = [0.0, -0.0649, -0.0940], Current Cost = 5036.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, 0.0603, -0.0074]. Recommendation = [0.0, -0.0649, -0.0940], Current Cost = 5037.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, -0.5071, 0.4460]. Recommendation = [0.0, -0.0649, -0.0940], Current Cost = 5038.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, 0.1603, -0.2762]. Recommendation = [0.0, -0.0649, -0.0940], Current Cost = 5039.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, -0.3990, 0.2155]. Recommendation = [0.0, -0.0649, -0.0940], Current Cost = 5040.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, -0.4018, 0.2780]. Recommendation = [0.0, -0.0649, -0.0940], Current Cost = 5041.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, 0.1707, -0.0035]. Recommendation = [0.0, -0.0649, -0.0940], Current Cost = 5042.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, -0.5954, 0.3645]. Recommendation = [0.0, -0.0649, -0.0940], Current Cost = 5043.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, -0.4249, 0.4806]. Recommendation = [0.0, -0.0649, -0.0940], Current Cost = 5044.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, -0.4461, -0.1375]. Recommendation = [0.0, -0.0649, -0.0940], Current Cost = 5045.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, -0.0611, 0.2744]. Recommendation = [0.0, -0.0649, -0.0940], Current Cost = 5046.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, 0.1759, 0.1406]. Recommendation = [0.0, -0.0649, -0.0940], Current Cost = 5047.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, 0.1133, 0.1316]. Recommendation = [0.0, -0.0649, -0.0940], Current Cost = 5048.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, 0.2222, -0.0377]. Recommendation = [0.0, -0.0649, -0.0940], Current Cost = 5049.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, 0.1952, 0.2367]. Recommendation = [0.0, -0.0649, -0.0940], Current Cost = 5050.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, 0.1322, 0.3113]. Recommendation = [0.0, -0.0649, -0.0940], Current Cost = 5051.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, 0.3364, 0.1258]. Recommendation = [0.0, -0.0649, -0.0940], Current Cost = 5052.00, Rho = 0.998
(iter 10) [0.0, -0.8214, 0.0713] = 416.5750, sampling [1.0, 0.3587, 0.1941]. Recommendation = [0.0, 0.3364, 0.1258], Current Cost = 5053.00, Rho = 0.998
