(iter 10) [0.0, 0.1436, -0.5519] = 422.7878, sampling [1.0, 0.0071, 0.1046]. Recommendation = [0.0, 0.1436, -0.5519], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.1436, -0.5519] = 422.7878, sampling [1.0, 0.3938, -0.0523]. Recommendation = [0.0, 0.0071, 0.1046], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.1436, -0.5519] = 422.7878, sampling [1.0, -0.1618, 0.7283]. Recommendation = [0.0, 0.3938, -0.0523], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.1436, -0.5519] = 422.7878, sampling [1.0, 0.1357, -0.2234]. Recommendation = [0.0, 0.3938, -0.0523], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.1436, -0.5519] = 422.7878, sampling [1.0, 0.2991, 0.3073]. Recommendation = [0.0, 0.3938, -0.0523], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.1436, -0.5519] = 422.7878, sampling [1.0, -0.3994, 0.1748]. Recommendation = [0.0, 0.2183, 0.1377], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.1436, -0.5519] = 422.7878, sampling [1.0, -0.2600, -0.1730]. Recommendation = [0.0, 0.2183, 0.1377], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.1436, -0.5519] = 422.7878, sampling [1.0, -0.1698, 0.3977]. Recommendation = [0.0, 0.2183, 0.1377], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.1436, -0.5519] = 422.7878, sampling [1.0, -0.5601, 0.8304]. Recommendation = [0.0, 0.2183, 0.1377], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.1436, -0.5519] = 422.7878, sampling [1.0, -0.6200, 0.4543]. Recommendation = [0.0, 0.2183, 0.1377], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.1436, -0.5519] = 422.7878, sampling [1.0, -0.4202, 1.2138]. Recommendation = [0.0, 0.2183, 0.1377], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.1436, -0.5519] = 422.7878, sampling [1.0, 0.4581, 0.6366]. Recommendation = [0.0, 0.2183, 0.1377], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.1436, -0.5519] = 422.7878, sampling [1.0, 0.6117, 0.2514]. Recommendation = [0.0, 0.2183, 0.1377], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.1436, -0.5519] = 422.7878, sampling [1.0, 0.0899, 0.5139]. Recommendation = [0.0, 0.3412, 0.2959], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.1436, -0.5519] = 422.7878, sampling [1.0, 0.2183, 0.1377]. Recommendation = [0.0, 0.3412, 0.2959], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.1436, -0.5519] = 422.7878, sampling [1.0, 0.6601, -0.0145]. Recommendation = [0.0, 0.3412, 0.2959], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.1436, -0.5519] = 422.7878, sampling [1.0, 0.3876, -0.3400]. Recommendation = [0.0, 0.3412, 0.2959], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.1436, -0.5519] = 422.7878, sampling [1.0, -0.0835, -0.0808]. Recommendation = [0.0, 0.3412, 0.2959], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.1436, -0.5519] = 422.7878, sampling [1.0, -0.1878, 0.1555]. Recommendation = [0.0, 0.3412, 0.2959], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.1436, -0.5519] = 422.7878, sampling [1.0, -0.6103, -0.0402]. Recommendation = [0.0, 0.3412, 0.2959], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.1436, -0.5519] = 422.7878, sampling [1.0, -0.4720, 0.5278]. Recommendation = [0.0, 0.3412, 0.2959], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.1436, -0.5519] = 422.7878, sampling [1.0, 0.5072, 0.1472]. Recommendation = [0.0, 0.3412, 0.2959], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.1436, -0.5519] = 422.7878, sampling [1.0, -0.8649, 1.0105]. Recommendation = [0.0, 0.5001, 0.1806], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.1436, -0.5519] = 422.7878, sampling [1.0, -0.9350, 0.6491]. Recommendation = [0.0, 0.5001, 0.1806], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.1436, -0.5519] = 422.7878, sampling [1.0, -0.8263, 0.3039]. Recommendation = [0.0, 0.5001, 0.1806], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.1436, -0.5519] = 422.7878, sampling [1.0, -0.6802, 0.6115]. Recommendation = [0.0, 0.5001, 0.1806], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.1436, -0.5519] = 422.7878, sampling [1.0, -0.6206, 0.2267]. Recommendation = [0.0, 0.5001, 0.1806], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.1436, -0.5519] = 422.7878, sampling [1.0, -0.3250, -0.5288]. Recommendation = [0.0, 0.5001, 0.1806], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.1436, -0.5519] = 422.7878, sampling [1.0, 0.5276, 0.3878]. Recommendation = [0.0, 0.5001, 0.1806], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.1436, -0.5519] = 422.7878, sampling [1.0, 0.2019, 0.8849]. Recommendation = [0.0, 0.3412, 0.2959], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.1436, -0.5519] = 422.7878, sampling [1.0, 0.2928, 0.4814]. Recommendation = [0.0, 0.3412, 0.2959], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 0.1436, -0.5519] = 422.7878, sampling [1.0, -0.4247, -0.0644]. Recommendation = [0.0, 0.3412, 0.2959], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 0.1436, -0.5519] = 422.7878, sampling [1.0, 0.0959, -0.0356]. Recommendation = [0.0, 0.3412, 0.2959], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 0.1436, -0.5519] = 422.7878, sampling [1.0, -0.7514, 0.8667]. Recommendation = [0.0, 0.3412, 0.2959], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, 0.1436, -0.5519] = 422.7878, sampling [1.0, -0.0090, 0.3401]. Recommendation = [0.0, 0.3412, 0.2959], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, 0.1436, -0.5519] = 422.7878, sampling [1.0, 0.8467, 0.4576]. Recommendation = [0.0, 0.3412, 0.2959], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, 0.1436, -0.5519] = 422.7878, sampling [1.0, 0.7667, 0.7551]. Recommendation = [0.0, 0.8467, 0.4576], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, 0.1436, -0.5519] = 422.7878, sampling [1.0, 0.7088, 0.5699]. Recommendation = [0.0, 0.7323, 0.5165], Current Cost = 5042.00, Rho = 1.000
