(iter 10) [0.0, 0.9810, 0.5932] = 442.6726, sampling [1.0, 0.3994, 0.6310]. Recommendation = [0.0, 0.9810, 0.5932], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.9810, 0.5932] = 442.6726, sampling [1.0, 0.6953, 1.0354]. Recommendation = [0.0, 0.9810, 0.5932], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.9810, 0.5932] = 442.6726, sampling [1.0, 0.7153, 0.7124]. Recommendation = [0.0, 0.7153, 0.7124], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.9810, 0.5932] = 442.6726, sampling [1.0, 0.3472, 0.1355]. Recommendation = [0.0, 0.7153, 0.7124], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.9810, 0.5932] = 442.6726, sampling [1.0, -0.1330, 0.4072]. Recommendation = [0.0, 0.3472, 0.1355], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.9810, 0.5932] = 442.6726, sampling [1.0, -0.0211, -0.2477]. Recommendation = [0.0, 0.3472, 0.1355], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.9810, 0.5932] = 442.6726, sampling [1.0, 0.4309, -0.3771]. Recommendation = [0.0, 0.1649, 0.1952], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.9810, 0.5932] = 442.6726, sampling [1.0, 0.7703, 0.1086]. Recommendation = [0.0, 0.1899, 0.1241], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.9810, 0.5932] = 442.6726, sampling [1.0, 0.0395, 0.0942]. Recommendation = [0.0, 0.7354, 0.5997], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.9810, 0.5932] = 442.6726, sampling [1.0, 0.1043, 0.8669]. Recommendation = [0.0, 0.7354, 0.5997], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.9810, 0.5932] = 442.6726, sampling [1.0, 0.5623, 0.3015]. Recommendation = [0.0, 0.7354, 0.5997], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.9810, 0.5932] = 442.6726, sampling [1.0, -0.5465, -0.0286]. Recommendation = [0.0, 0.3472, 0.1355], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.9810, 0.5932] = 442.6726, sampling [1.0, -0.3126, -0.5991]. Recommendation = [0.0, 0.3472, 0.1355], Current Cost = 5017.00, Rho = 1.000
