(iter 10) [0.0, 0.0085, -0.3985] = 439.4272, sampling [1.0, -0.1441, 0.1000]. Recommendation = [0.0, 0.0085, -0.3985], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.0085, -0.3985] = 439.4272, sampling [1.0, -0.0349, 0.6220]. Recommendation = [0.0, -0.1441, 0.1000], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.0085, -0.3985] = 439.4272, sampling [1.0, -0.1731, -0.1489]. Recommendation = [0.0, -0.1441, 0.1000], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.0085, -0.3985] = 439.4272, sampling [1.0, 0.1025, 0.1243]. Recommendation = [0.0, -0.1441, 0.1000], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.0085, -0.3985] = 439.4272, sampling [1.0, -0.2241, 0.2947]. Recommendation = [0.0, -0.1441, 0.1000], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.0085, -0.3985] = 439.4272, sampling [1.0, 0.0284, -0.1175]. Recommendation = [0.0, -0.1441, 0.1000], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.0085, -0.3985] = 439.4272, sampling [1.0, -0.0239, 0.3142]. Recommendation = [0.0, -0.0916, -0.0990], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.0085, -0.3985] = 439.4272, sampling [1.0, -0.3623, -0.0247]. Recommendation = [0.0, -0.0916, -0.0990], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.0085, -0.3985] = 439.4272, sampling [1.0, 0.0251, 1.0962]. Recommendation = [0.0, -0.0916, -0.0990], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.0085, -0.3985] = 439.4272, sampling [1.0, -0.4275, 0.3882]. Recommendation = [0.0, -0.0916, -0.0990], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.0085, -0.3985] = 439.4272, sampling [1.0, -0.3322, 0.2529]. Recommendation = [0.0, -0.0916, -0.0990], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.0085, -0.3985] = 439.4272, sampling [1.0, -0.2666, 0.4468]. Recommendation = [0.0, -0.1914, 0.0715], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.0085, -0.3985] = 439.4272, sampling [1.0, -0.1134, -0.3055]. Recommendation = [0.0, -0.1914, 0.0715], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.0085, -0.3985] = 439.4272, sampling [1.0, -0.0916, -0.0990]. Recommendation = [0.0, -0.1914, 0.0715], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.0085, -0.3985] = 439.4272, sampling [1.0, -0.0531, 0.1405]. Recommendation = [0.0, -0.1914, 0.0715], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.0085, -0.3985] = 439.4272, sampling [1.0, -0.4497, 0.6542]. Recommendation = [0.0, -0.1914, 0.0715], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.0085, -0.3985] = 439.4272, sampling [1.0, -0.6345, 0.1743]. Recommendation = [0.0, -0.1914, 0.0715], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.0085, -0.3985] = 439.4272, sampling [1.0, -0.5421, 0.5126]. Recommendation = [0.0, -0.1914, 0.0715], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.0085, -0.3985] = 439.4272, sampling [1.0, -0.2872, 0.0263]. Recommendation = [0.0, -0.1914, 0.0715], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.0085, -0.3985] = 439.4272, sampling [1.0, 0.2973, 0.4363]. Recommendation = [0.0, -0.1914, 0.0715], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.0085, -0.3985] = 439.4272, sampling [1.0, 0.4386, 0.7470]. Recommendation = [0.0, -0.1914, 0.0715], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.0085, -0.3985] = 439.4272, sampling [1.0, 0.2454, 0.5949]. Recommendation = [0.0, -0.1914, 0.0715], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.0085, -0.3985] = 439.4272, sampling [1.0, 0.1671, 0.2876]. Recommendation = [0.0, -0.1914, 0.0715], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.0085, -0.3985] = 439.4272, sampling [1.0, 0.0065, -0.2738]. Recommendation = [0.0, -0.1914, 0.0715], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.0085, -0.3985] = 439.4272, sampling [1.0, 0.2901, 0.0187]. Recommendation = [0.0, -0.1914, 0.0715], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.0085, -0.3985] = 439.4272, sampling [1.0, 0.1535, -0.0743]. Recommendation = [0.0, -0.1914, 0.0715], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.0085, -0.3985] = 439.4272, sampling [1.0, 0.3436, 0.3231]. Recommendation = [0.0, -0.1914, 0.0715], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.0085, -0.3985] = 439.4272, sampling [1.0, 0.2402, 0.1553]. Recommendation = [0.0, 0.3436, 0.3231], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.0085, -0.3985] = 439.4272, sampling [1.0, 0.4608, 0.4007]. Recommendation = [0.0, 0.3436, 0.3231], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.0085, -0.3985] = 439.4272, sampling [1.0, -0.2520, 0.6131]. Recommendation = [0.0, 0.3436, 0.3231], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.0085, -0.3985] = 439.4272, sampling [1.0, -0.1968, 0.1315]. Recommendation = [0.0, 0.3436, 0.3231], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 0.0085, -0.3985] = 439.4272, sampling [1.0, -0.5102, -0.0088]. Recommendation = [0.0, 0.3436, 0.3231], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 0.0085, -0.3985] = 439.4272, sampling [1.0, -0.2899, -0.1848]. Recommendation = [0.0, 0.3436, 0.3231], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 0.0085, -0.3985] = 439.4272, sampling [1.0, 0.5353, 0.1601]. Recommendation = [0.0, 0.3436, 0.3231], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, 0.0085, -0.3985] = 439.4272, sampling [1.0, 0.3967, 0.0584]. Recommendation = [0.0, 0.3436, 0.3231], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, 0.0085, -0.3985] = 439.4272, sampling [1.0, 0.7387, 0.6267]. Recommendation = [0.0, 0.3967, 0.0584], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, 0.0085, -0.3985] = 439.4272, sampling [1.0, 0.6856, 0.3692]. Recommendation = [0.0, 0.7387, 0.6267], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, 0.0085, -0.3985] = 439.4272, sampling [1.0, 0.7058, 0.9305]. Recommendation = [0.0, 0.7387, 0.6267], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, 0.0085, -0.3985] = 439.4272, sampling [1.0, 0.7948, 0.7550]. Recommendation = [0.0, 0.7387, 0.6267], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, 0.0085, -0.3985] = 439.4272, sampling [1.0, 0.5858, 0.7030]. Recommendation = [0.0, 0.7387, 0.6267], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, 0.0085, -0.3985] = 439.4272, sampling [1.0, 0.8738, 0.6465]. Recommendation = [0.0, 0.7387, 0.6267], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, 0.0085, -0.3985] = 439.4272, sampling [1.0, 0.9006, 0.8417]. Recommendation = [0.0, 0.7870, 0.6888], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, 0.0085, -0.3985] = 439.4272, sampling [1.0, 0.8375, 1.0933]. Recommendation = [0.0, 0.7870, 0.6888], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, 0.0085, -0.3985] = 439.4272, sampling [1.0, 0.5395, 1.0448]. Recommendation = [0.0, 0.7870, 0.6888], Current Cost = 5048.00, Rho = 1.000
