(iter 10) [0.0, 0.2079, -0.6148] = 412.3734, sampling [1.0, -0.0082, -0.5023]. Recommendation = [0.0, 0.2079, -0.6148], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.2079, -0.6148] = 412.3734, sampling [1.0, -0.0302, -0.6306]. Recommendation = [0.0, -0.0082, -0.5023], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.2079, -0.6148] = 412.3734, sampling [1.0, -0.2435, -0.3832]. Recommendation = [0.0, -0.0082, -0.5023], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.2079, -0.6148] = 412.3734, sampling [1.0, -0.1143, -0.4474]. Recommendation = [0.0, -0.0082, -0.5023], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.2079, -0.6148] = 412.3734, sampling [1.0, -0.1018, -0.1880]. Recommendation = [0.0, -0.0082, -0.5023], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.2079, -0.6148] = 412.3734, sampling [1.0, 0.0634, -0.2209]. Recommendation = [0.0, -0.1018, -0.1880], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.2079, -0.6148] = 412.3734, sampling [1.0, -0.2162, -0.0905]. Recommendation = [0.0, -0.1018, -0.1880], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.2079, -0.6148] = 412.3734, sampling [1.0, -0.0580, 0.0519]. Recommendation = [0.0, -0.1018, -0.1880], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.2079, -0.6148] = 412.3734, sampling [1.0, -0.2743, 0.1546]. Recommendation = [0.0, -0.1489, -0.1470], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.2079, -0.6148] = 412.3734, sampling [1.0, -0.2851, -0.0084]. Recommendation = [0.0, -0.2743, 0.1546], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.2079, -0.6148] = 412.3734, sampling [1.0, -0.1314, 0.2382]. Recommendation = [0.0, -0.2743, 0.1546], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.2079, -0.6148] = 412.3734, sampling [1.0, -0.3966, 0.3376]. Recommendation = [0.0, -0.2743, 0.1546], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.2079, -0.6148] = 412.3734, sampling [1.0, -0.4772, 0.1422]. Recommendation = [0.0, -0.2743, 0.1546], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.2079, -0.6148] = 412.3734, sampling [1.0, -0.3048, 0.5227]. Recommendation = [0.0, -0.2743, 0.1546], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.2079, -0.6148] = 412.3734, sampling [1.0, -0.4021, -0.1216]. Recommendation = [0.0, -0.2743, 0.1546], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.2079, -0.6148] = 412.3734, sampling [1.0, -0.2048, 0.2539]. Recommendation = [0.0, -0.2743, 0.1546], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.2079, -0.6148] = 412.3734, sampling [1.0, -0.3191, 0.4043]. Recommendation = [0.0, -0.2743, 0.1546], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.2079, -0.6148] = 412.3734, sampling [1.0, 0.0363, -0.0019]. Recommendation = [0.0, -0.2743, 0.1546], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.2079, -0.6148] = 412.3734, sampling [1.0, -0.4087, 0.1917]. Recommendation = [0.0, -0.2743, 0.1546], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.2079, -0.6148] = 412.3734, sampling [1.0, -0.0809, 0.1313]. Recommendation = [0.0, -0.2743, 0.1546], Current Cost = 5024.00, Rho = 1.000
